Department,Age,Education,Education Field,Gender,Job Involvement,Performance Rating,Marital Status,Years At Company,Training Times Last Year,Environment Satisfaction,Job Satisfaction,Work Life Balance,Monthly Income
Research & Development,36,4,Life Sciences,Male,3,3,Married,3,2,4,3,3,103880
Research & Development,36,2,Medical,Female,3,3,Divorced,5,2,4,1,3,114160
Sales,54,3,Marketing,Male,3,3,Married,10,5,2,3,3,26000
Research & Development,43,4,Life Sciences,Female,3,3,Married,14,2,3,3,3,24220
Research & Development,35,4,Medical,Male,2,3,Single,11,3,4,4,4,54720
Research & Development,38,2,Life Sciences,Male,3,3,Married,13,3,4,4,4,24510
Research & Development,29,2,Medical,Male,2,3,Divorced,10,2,1,2,2,42400
Research & Development,33,3,Medical,Male,2,3,Divorced,6,3,4,4,3,109990
Research & Development,32,4,Technical Degree,Male,3,3,Divorced,9,5,4,2,2,50030
Research & Development,31,4,Technical Degree,Female,2,3,Married,10,4,1,4,3,127420
Research & Development,49,4,Medical,Male,2,3,Divorced,2,3,4,1,2,42270
Sales,38,2,Medical,Female,3,3,Single,4,2,4,2,3,39170
Research & Development,47,4,Medical,Male,2,4,Divorced,3,2,2,2,3,183030
Research & Development,49,3,Medical,Male,1,3,Single,8,3,3,3,3,23800
Research & Development,41,4,Life Sciences,Female,4,3,Single,2,6,4,3,3,137260
Research & Development,20,3,Life Sciences,Male,3,3,Single,2,3,4,1,3,47770
Research & Development,33,2,Medical,Female,2,3,Divorced,6,6,3,4,3,63850
Research & Development,36,2,Technical Degree,Male,3,3,Married,3,2,1,3,2,199730
Research & Development,44,3,Technical Degree,Female,2,3,Divorced,2,2,3,4,3,68610
Human Resources,23,3,Life Sciences,Female,3,3,Single,5,3,4,3,3,49690
Research & Development,38,2,Life Sciences,Male,3,3,Married,0,3,4,3,2,198450
Research & Development,53,3,Life Sciences,Male,3,3,Married,4,2,2,4,3,133200
Sales,48,2,Marketing,Male,1,3,Married,9,3,4,3,3,63470
Sales,32,3,Life Sciences,Male,3,3,Single,1,2,4,2,3,27430
Research & Development,26,2,Medical,Male,3,4,Single,7,5,4,4,3,108800
Research & Development,55,1,Life Sciences,Male,3,3,Divorced,4,2,1,2,3,23420
Sales,34,3,Life Sciences,Female,1,3,Married,15,6,2,4,4,176500
Sales,60,4,Medical,Male,2,3,Divorced,1,5,3,4,4,40250
Sales,33,3,Life Sciences,Male,3,3,Married,14,0,2,2,3,97250
Research & Development,37,3,Life Sciences,Male,3,3,Divorced,6,4,3,4,2,119040
Research & Development,34,2,Life Sciences,Male,3,3,Married,10,5,2,4,3,21770
Research & Development,23,2,Medical,Male,3,3,Divorced,3,2,3,4,3,75250
Human Resources,44,3,Life Sciences,Male,4,3,Married,8,1,3,4,3,48340
Research & Development,35,3,Life Sciences,Male,3,3,Single,5,2,1,4,4,20420
Research & Development,43,4,Life Sciences,Male,1,3,Married,10,2,4,4,3,22200
Research & Development,24,3,Life Sciences,Male,3,3,Married,5,3,3,3,3,10520
Sales,41,4,Marketing,Male,3,3,Single,10,3,4,3,3,28210
Research & Development,29,2,Life Sciences,Male,3,3,Married,5,2,4,3,3,192370
Human Resources,36,4,Life Sciences,Female,1,3,Single,13,2,3,4,2,41070
Sales,45,3,Life Sciences,Female,2,3,Married,23,3,3,3,2,83960
Sales,24,2,Medical,Female,2,3,Married,1,2,4,3,3,20070
Research & Development,47,3,Medical,Female,3,3,Married,23,1,3,3,1,196270
Research & Development,26,1,Medical,Male,3,3,Married,3,2,4,3,4,106860
Research & Development,45,4,Life Sciences,Male,3,4,Single,21,4,4,2,3,29420
Sales,32,1,Marketing,Male,3,3,Married,5,2,1,3,2,88580
Research & Development,31,2,Life Sciences,Male,3,3,Married,5,5,2,3,4,167560
Sales,41,2,Medical,Male,1,3,Married,3,5,3,2,3,107980
Research & Development,40,2,Technical Degree,Male,3,3,Married,1,2,2,1,3,23230
Research & Development,24,3,Life Sciences,Female,2,3,Divorced,6,3,2,1,4,14160
Research & Development,46,3,Medical,Male,2,3,Single,10,3,3,2,3,46150
Sales,35,4,Life Sciences,Male,3,4,Married,7,4,4,3,3,24610
Sales,30,4,Marketing,Male,3,3,Married,10,3,2,4,2,87220
Research & Development,47,2,Life Sciences,Female,3,3,Married,1,5,3,2,1,39550
Research & Development,46,4,Technical Degree,Female,3,4,Divorced,10,1,3,4,2,99570
Research & Development,36,3,Medical,Male,3,4,Divorced,2,3,2,1,3,33760
Research & Development,32,3,Medical,Female,3,3,Single,0,3,1,2,3,88230
Sales,23,4,Life Sciences,Male,3,3,Single,3,2,3,2,1,103220
Sales,31,3,Marketing,Male,3,3,Single,5,3,4,4,2,46210
Research & Development,39,3,Life Sciences,Female,2,3,Married,9,3,4,4,3,109760
Research & Development,32,3,Technical Degree,Male,2,3,Married,4,0,4,3,1,36600
Sales,40,3,Life Sciences,Male,2,3,Single,21,6,2,2,2,104820
Research & Development,45,4,Medical,Male,3,3,Married,5,2,3,3,4,71190
Sales,30,3,Life Sciences,Male,3,3,Single,9,2,4,1,3,95820
Sales,24,4,Marketing,Male,3,3,Married,2,5,1,4,3,45080
Research & Development,30,3,Life Sciences,Female,3,3,Divorced,4,4,3,4,2,22070
Research & Development,31,2,Life Sciences,Male,4,3,Married,5,3,1,3,3,77560
Sales,27,3,Life Sciences,Male,2,3,Single,6,2,3,4,2,66940
Sales,29,3,Marketing,Male,3,3,Single,2,3,2,2,3,36910
Research & Development,29,4,Life Sciences,Female,3,4,Single,3,2,4,3,4,23770
Sales,30,3,Life Sciences,Male,3,3,Divorced,7,5,3,1,3,23130
Research & Development,34,2,Medical,Female,2,3,Married,5,5,4,4,3,176650
Research & Development,33,4,Medical,Male,3,3,Single,11,4,4,2,2,25960
Sales,49,4,Marketing,Male,3,3,Single,5,4,4,4,4,47280
Research & Development,33,3,Life Sciences,Male,1,3,Single,0,3,1,1,2,43020
Research & Development,38,3,Medical,Male,3,3,Married,6,3,3,2,2,29790
Human Resources,31,4,Human Resources,Male,3,3,Married,1,2,1,3,3,168850
Research & Development,29,4,Other,Female,3,3,Divorced,1,3,4,1,3,55930
Research & Development,30,1,Medical,Male,3,3,Married,7,3,3,3,3,104450
Research & Development,32,4,Life Sciences,Female,3,3,Single,7,2,2,2,3,87400
Research & Development,38,2,Technical Degree,Female,2,3,Married,1,2,2,4,3,25140
Research & Development,43,4,Other,Male,3,3,Married,1,3,3,3,3,76550
Human Resources,42,3,Other,Female,3,3,Divorced,5,3,2,2,2,174650
Research & Development,55,2,Life Sciences,Female,3,4,Married,1,3,3,1,3,73510
Research & Development,33,3,Other,Male,3,3,Divorced,9,2,4,2,2,108200
Research & Development,41,3,Medical,Male,3,3,Divorced,5,2,3,1,3,121690
Research & Development,34,4,Medical,Female,2,4,Divorced,15,5,4,3,3,196260
Research & Development,53,4,Medical,Male,4,3,Married,3,2,1,3,2,20700
Sales,43,2,Marketing,Female,3,3,Single,9,2,2,4,3,67820
Sales,34,2,Life Sciences,Female,3,3,Single,2,2,4,4,3,77790
Sales,21,2,Marketing,Male,4,3,Single,1,3,2,2,3,27910
Research & Development,38,2,Life Sciences,Female,2,3,Married,5,3,4,3,3,32010
Research & Development,22,3,Other,Male,3,3,Married,1,3,3,1,3,49680
Research & Development,31,5,Life Sciences,Male,2,3,Married,12,6,1,4,3,131200
Research & Development,51,4,Life Sciences,Female,3,3,Married,2,2,1,3,3,40330
Research & Development,37,1,Life Sciences,Male,2,3,Married,5,2,2,2,3,32910
Sales,46,4,Marketing,Female,4,3,Divorced,2,3,3,4,3,42720
Research & Development,36,3,Technical Degree,Female,2,3,Married,12,2,4,1,3,50560
Sales,44,4,Life Sciences,Male,4,3,Divorced,5,2,3,2,2,28440
Research & Development,37,2,Technical Degree,Male,3,3,Divorced,10,2,3,2,2,27030
Research & Development,35,4,Life Sciences,Male,3,4,Single,10,4,3,4,3,19040
Research & Development,33,5,Medical,Male,3,3,Married,10,3,4,1,3,82240
Sales,28,3,Medical,Female,3,3,Married,5,3,3,4,4,47660
Sales,39,4,Marketing,Female,2,3,Single,4,2,3,3,3,26100
Research & Development,46,2,Life Sciences,Male,3,3,Single,2,2,2,2,3,57310
Research & Development,40,2,Medical,Male,3,3,Married,4,3,3,1,2,25390
Research & Development,42,4,Other,Female,3,3,Married,0,2,2,1,2,57140
Sales,35,1,Life Sciences,Female,3,3,Divorced,7,3,2,4,3,43230
Sales,38,4,Marketing,Male,3,3,Divorced,11,3,1,2,3,73360
Research & Development,34,1,Life Sciences,Male,4,4,Married,7,2,4,1,2,134990
Research & Development,37,3,Life Sciences,Male,3,3,Single,10,5,4,1,1,137580
Research & Development,39,1,Medical,Male,2,3,Divorced,2,3,3,4,3,51550
Human Resources,43,5,Medical,Female,3,3,Single,3,2,1,3,2,22580
Research & Development,41,3,Life Sciences,Male,1,3,Single,3,2,2,2,1,35970
Research & Development,41,1,Technical Degree,Male,2,3,Divorced,22,2,3,3,4,25150
Sales,30,3,Marketing,Female,3,3,Single,7,3,1,3,3,44200
Human Resources,26,1,Technical Degree,Female,2,3,Married,5,3,4,2,3,65780
Research & Development,46,3,Medical,Male,3,3,Married,9,2,4,2,4,44220
Sales,40,2,Medical,Female,3,3,Divorced,5,3,3,4,3,102740
Research & Development,34,3,Life Sciences,Male,2,3,Married,10,5,2,3,3,53430
Research & Development,58,4,Medical,Male,3,3,Divorced,16,3,2,2,2,23760
Research & Development,35,1,Technical Degree,Female,2,3,Married,5,3,2,3,4,53460
Research & Development,47,5,Medical,Female,3,3,Divorced,22,3,3,2,3,28270
Research & Development,40,4,Life Sciences,Male,3,3,Divorced,7,3,2,1,3,199430
Sales,54,4,Medical,Male,2,3,Married,7,3,4,4,2,31310
Sales,31,4,Other,Female,3,3,Married,3,2,1,1,3,25520
Sales,28,2,Life Sciences,Male,3,3,Married,3,6,3,1,3,44770
Research & Development,38,3,Medical,Female,1,3,Married,4,3,2,4,2,64740
Sales,26,3,Marketing,Female,2,3,Single,5,2,3,4,3,30330
Research & Development,58,4,Technical Degree,Female,3,3,Married,2,3,1,3,3,29360
Research & Development,18,3,Life Sciences,Male,3,4,Single,0,4,2,3,1,186060
Research & Development,31,3,Life Sciences,Male,3,3,Married,1,2,4,1,3,21680
Research & Development,29,2,Medical,Male,2,3,Divorced,2,5,1,1,3,28530
Sales,45,4,Technical Degree,Male,2,3,Married,8,3,3,3,4,170480
Sales,36,3,Technical Degree,Female,3,3,Married,1,5,4,2,3,22900
Sales,43,3,Medical,Male,3,4,Married,7,2,1,4,3,36000
Sales,27,4,Life Sciences,Male,3,3,Single,5,2,4,4,2,21070
Research & Development,29,2,Medical,Male,3,3,Married,11,1,4,4,4,41150
Sales,32,4,Life Sciences,Male,3,3,Single,0,4,4,4,4,43270
Research & Development,42,3,Medical,Male,3,3,Married,6,2,3,3,2,178560
Sales,47,2,Life Sciences,Female,2,3,Single,2,3,2,3,3,31960
Human Resources,46,3,Life Sciences,Female,3,4,Divorced,9,2,4,4,2,190810
Research & Development,28,3,Life Sciences,Male,2,3,Divorced,3,3,3,4,3,89660
Research & Development,29,3,Medical,Female,3,3,Divorced,7,4,4,3,3,22100
Sales,42,4,Medical,Female,3,3,Single,0,5,4,3,3,45390
Research & Development,32,1,Medical,Male,3,3,Single,2,3,3,2,2,27410
Research & Development,46,1,Life Sciences,Male,3,3,Divorced,19,0,1,1,3,34910
Sales,27,3,Life Sciences,Female,4,3,Married,9,4,2,3,3,45410
Research & Development,29,2,Medical,Male,3,4,Married,1,3,4,2,3,26780
Research & Development,43,3,Life Sciences,Male,2,3,Married,16,3,1,3,3,73790
Research & Development,48,3,Life Sciences,Female,2,3,Married,22,3,4,2,3,62720
Research & Development,29,2,Life Sciences,Female,2,3,Single,1,3,4,4,2,52200
Research & Development,46,4,Medical,Female,4,4,Married,8,1,3,2,3,27430
Research & Development,27,4,Medical,Male,3,4,Married,7,3,4,1,2,49980
Research & Development,39,3,Technical Degree,Male,3,3,Divorced,2,3,4,4,3,102520
Research & Development,55,3,Life Sciences,Female,3,3,Married,5,2,2,4,4,27810
Research & Development,28,2,Life Sciences,Male,4,3,Married,1,2,2,2,3,68520
Sales,30,4,Life Sciences,Female,3,3,Single,1,3,2,4,2,49500
Research & Development,22,2,Life Sciences,Female,3,3,Single,1,3,4,2,3,35790
Research & Development,36,3,Life Sciences,Male,2,3,Married,10,2,2,3,3,131910
Research & Development,31,4,Life Sciences,Female,3,3,Divorced,10,2,2,3,3,103770
Sales,34,2,Technical Degree,Female,3,3,Married,5,2,3,4,3,22350
Research & Development,29,5,Life Sciences,Female,2,3,Single,3,4,4,1,3,105020
Research & Development,37,2,Medical,Male,4,3,Married,5,4,4,1,3,20110
Sales,35,1,Technical Degree,Male,2,4,Married,3,2,4,2,3,18590
Research & Development,45,3,Medical,Female,2,3,Married,9,2,2,4,2,37600
Research & Development,36,3,Medical,Female,1,3,Single,10,5,2,4,2,177790
Research & Development,40,3,Other,Male,3,3,Divorced,19,3,1,1,3,68330
Research & Development,26,2,Life Sciences,Male,2,3,Married,1,2,2,3,2,68120
Research & Development,27,3,Technical Degree,Male,2,4,Single,8,1,1,3,2,51710
Research & Development,48,3,Life Sciences,Male,4,3,Divorced,22,2,4,4,3,197400
Sales,44,2,Medical,Male,3,3,Married,2,0,2,1,3,187110
Research & Development,34,2,Life Sciences,Female,3,3,Married,5,5,4,1,3,36920
Human Resources,56,2,Medical,Female,3,4,Single,4,3,1,4,3,25590
Research & Development,36,3,Technical Degree,Female,3,3,Married,4,3,3,2,1,25170
Research & Development,41,3,Life Sciences,Female,3,3,Married,5,3,3,2,3,66230
Research & Development,42,3,Technical Degree,Female,3,3,Married,13,4,3,1,4,182650
Sales,31,4,Life Sciences,Female,2,4,Divorced,5,2,3,4,3,161240
Research & Development,34,1,Life Sciences,Female,3,3,Married,4,5,4,4,2,25850
Sales,31,2,Life Sciences,Female,4,4,Divorced,2,3,1,3,2,182130
Sales,26,2,Life Sciences,Male,4,3,Married,7,3,3,4,3,83800
Research & Development,45,4,Life Sciences,Female,3,3,Single,4,2,2,3,3,29940
Sales,33,3,Life Sciences,Female,3,3,Single,10,3,2,3,2,12230
Sales,28,3,Life Sciences,Male,3,3,Married,7,3,3,4,3,11180
Human Resources,29,4,Human Resources,Male,3,3,Single,1,3,3,1,3,28750
Research & Development,39,5,Medical,Female,3,3,Married,3,4,1,3,3,188240
Sales,27,2,Technical Degree,Male,3,3,Married,5,2,2,2,2,135770
Research & Development,34,4,Life Sciences,Female,3,3,Married,15,4,3,4,3,26250
Research & Development,28,3,Technical Degree,Male,3,3,Single,2,4,4,3,3,187890
Research & Development,47,4,Medical,Male,3,3,Married,8,3,3,2,4,45380
Research & Development,56,3,Technical Degree,Female,3,3,Married,0,6,4,1,3,198470
Research & Development,39,3,Other,Female,3,3,Married,10,2,1,1,3,105120
Research & Development,38,2,Medical,Female,3,3,Divorced,20,2,4,2,3,44440
Sales,58,3,Marketing,Male,3,4,Married,1,3,4,4,2,21540
Research & Development,32,3,Life Sciences,Male,3,3,Single,4,2,1,3,3,191900
Research & Development,38,4,Life Sciences,Female,3,4,Divorced,5,1,2,4,4,44900
Sales,49,4,Life Sciences,Male,2,3,Married,5,4,2,4,3,35060
Sales,42,3,Life Sciences,Female,3,3,Divorced,0,3,2,4,3,23720
Sales,27,1,Life Sciences,Male,3,3,Married,1,2,1,2,3,102310
Research & Development,35,1,Medical,Male,3,3,Married,5,4,2,1,1,54100
Research & Development,28,1,Medical,Male,3,3,Single,5,2,3,3,2,79780
Sales,31,1,Medical,Male,4,3,Divorced,4,4,3,1,4,38670
Research & Development,36,3,Life Sciences,Male,1,3,Married,5,5,1,2,3,28380
Sales,34,3,Marketing,Male,3,3,Single,14,2,1,4,2,46950
Research & Development,34,3,Technical Degree,Female,2,3,Divorced,8,2,4,3,2,33390
Research & Development,26,2,Life Sciences,Male,4,3,Single,7,6,3,1,2,20800
Research & Development,29,4,Other,Male,4,4,Married,5,2,1,1,2,20960
Research & Development,32,1,Life Sciences,Male,4,3,Divorced,5,5,3,4,3,62090
Research & Development,31,5,Technical Degree,Female,3,3,Married,10,2,4,1,3,180610
Sales,28,5,Life Sciences,Female,2,3,Divorced,4,2,3,4,2,171230
Research & Development,38,2,Technical Degree,Male,2,3,Single,1,3,1,1,2,23720
Research & Development,35,3,Life Sciences,Male,1,3,Married,10,1,3,4,3,48830
Sales,27,3,Life Sciences,Female,3,3,Single,7,2,4,4,3,39040
Research & Development,32,1,Medical,Female,2,3,Single,1,2,4,4,3,46270
Research & Development,31,1,Other,Male,3,3,Married,10,2,1,4,3,70940
Research & Development,53,3,Medical,Male,3,3,Single,2,4,1,1,2,34230
Research & Development,54,3,Other,Male,3,3,Married,4,2,1,3,2,66740
Research & Development,33,4,Medical,Female,3,3,Divorced,9,2,4,3,3,168800
Research & Development,43,3,Medical,Male,3,3,Married,10,0,1,3,3,90940
Research & Development,38,5,Medical,Female,2,3,Married,6,3,4,2,3,84460
Sales,55,3,Marketing,Male,2,3,Married,10,3,3,2,3,119160
Sales,31,3,Other,Male,3,3,Divorced,1,2,4,4,3,45340
Research & Development,39,3,Life Sciences,Male,2,3,Single,20,5,2,1,3,98520
Research & Development,42,4,Life Sciences,Female,3,3,Single,20,3,4,3,3,61510
Research & Development,31,2,Life Sciences,Male,3,3,Married,11,3,3,3,4,23020
Research & Development,54,3,Medical,Female,4,3,Single,5,2,3,1,3,23620
Research & Development,24,4,Other,Male,1,3,Single,4,5,2,3,2,178610
Research & Development,23,3,Life Sciences,Male,3,3,Single,5,2,4,4,4,191870
Research & Development,40,3,Medical,Female,2,4,Married,10,1,4,3,4,197170
Research & Development,40,1,Medical,Female,2,3,Married,11,3,2,2,3,35440
Sales,25,5,Medical,Female,3,3,Married,2,2,3,2,3,85000
Human Resources,30,4,Life Sciences,Male,2,3,Married,12,3,4,2,2,46610
Research & Development,25,2,Medical,Male,3,3,Divorced,2,2,4,3,2,41030
Research & Development,47,4,Life Sciences,Male,2,3,Single,17,2,1,3,3,42490
Research & Development,33,3,Life Sciences,Male,3,3,Divorced,1,4,2,3,2,140260
Research & Development,38,3,Life Sciences,Female,3,3,Married,15,3,4,2,3,68930
Research & Development,31,4,Medical,Female,3,3,Married,2,3,1,3,3,61250
Research & Development,38,4,Other,Male,3,3,Married,8,2,1,3,3,36690
Research & Development,42,3,Medical,Male,1,3,Divorced,4,3,4,1,2,100080
Sales,41,2,Medical,Male,1,3,Married,5,1,4,4,3,23870
Research & Development,47,2,Medical,Male,2,3,Married,13,2,3,2,1,46390
Research & Development,35,3,Life Sciences,Male,2,3,Married,2,2,4,3,3,78980
Human Resources,22,1,Human Resources,Male,3,3,Single,3,1,4,3,4,25340
Research & Development,35,3,Medical,Female,3,4,Single,10,4,2,3,3,131420
Sales,33,4,Medical,Male,2,3,Married,9,2,2,4,3,16110
Research & Development,32,2,Technical Degree,Male,3,3,Single,6,4,3,2,3,53630
Research & Development,40,4,Medical,Male,2,3,Married,1,3,1,4,2,50710
Research & Development,32,2,Medical,Male,3,3,Married,2,3,2,2,3,136950
Research & Development,39,4,Life Sciences,Male,3,3,Single,7,1,1,4,3,134020
Sales,38,4,Medical,Female,2,3,Married,18,3,2,3,3,20290
Research & Development,32,3,Life Sciences,Male,3,3,Married,14,3,3,4,3,63770
Research & Development,37,3,Life Sciences,Female,3,3,Married,16,3,3,4,3,54290
Research & Development,25,4,Medical,Female,3,4,Divorced,5,2,1,3,2,27850
Research & Development,52,4,Other,Male,3,3,Divorced,9,3,1,4,2,46140
Research & Development,44,1,Life Sciences,Female,3,3,Single,4,2,2,4,3,26100
Sales,21,5,Medical,Male,3,3,Single,2,0,3,1,3,66870
Research & Development,39,4,Life Sciences,Female,4,3,Single,6,4,4,4,2,47240
Research & Development,23,4,Life Sciences,Female,3,3,Married,1,3,4,1,2,61790
Research & Development,36,3,Life Sciences,Female,3,3,Married,9,2,1,4,3,61200
Research & Development,36,1,Medical,Male,2,3,Divorced,4,3,4,2,3,105960
Research & Development,56,1,Life Sciences,Male,2,4,Divorced,13,6,3,3,2,54670
Research & Development,29,4,Medical,Male,3,4,Married,2,4,1,4,4,29960
Research & Development,42,1,Life Sciences,Male,2,4,Married,22,3,1,3,2,99980
Sales,56,4,Other,Male,3,4,Married,10,3,4,3,1,40780
Research & Development,41,4,Life Sciences,Female,4,3,Married,20,3,1,2,3,109200
Sales,34,3,Medical,Female,3,3,Married,8,3,4,3,3,62320
Sales,36,1,Medical,Female,3,3,Divorced,15,3,4,4,2,132470
Research & Development,41,5,Medical,Male,3,3,Divorced,5,3,3,2,3,40810
Sales,32,4,Life Sciences,Female,3,3,Single,4,3,4,1,3,57690
Research & Development,35,3,Medical,Female,3,3,Single,9,3,3,4,3,23940
Research & Development,38,3,Medical,Male,2,4,Married,10,3,1,4,3,39040
Sales,50,2,Life Sciences,Female,2,3,Divorced,6,2,2,3,3,167990
Research & Development,36,4,Life Sciences,Male,2,3,Married,6,1,2,3,2,29500
Sales,45,3,Life Sciences,Male,4,3,Single,5,2,4,3,3,36290
Sales,40,4,Life Sciences,Male,3,3,Single,2,6,3,3,3,93620
Sales,35,2,Life Sciences,Male,2,4,Married,10,2,3,3,4,32290
Research & Development,40,4,Life Sciences,Male,3,3,Married,5,2,3,3,3,35780
Human Resources,35,1,Life Sciences,Male,3,3,Married,4,3,3,4,3,79880
Research & Development,29,3,Medical,Male,2,3,Married,4,5,4,2,3,42840
Research & Development,29,3,Medical,Male,3,3,Single,5,3,4,1,1,75530
Research & Development,50,3,Medical,Male,3,3,Divorced,3,1,4,1,3,173280
Sales,39,3,Medical,Male,4,3,Married,20,3,2,4,2,197010
Research & Development,31,4,Life Sciences,Female,3,3,Single,9,3,2,1,3,147320
Research & Development,26,4,Medical,Male,3,4,Single,4,3,4,3,3,92780
Research & Development,36,1,Technical Degree,Male,3,3,Married,5,2,3,4,3,13590
Research & Development,39,1,Medical,Female,3,3,Married,7,3,4,1,3,47790
Research & Development,27,2,Medical,Male,3,4,Married,6,3,2,2,3,164220
Research & Development,49,1,Medical,Male,2,3,Married,9,2,4,2,2,29960
Sales,34,3,Medical,Female,3,3,Married,4,6,2,3,4,12610
Research & Development,41,2,Life Sciences,Female,3,3,Single,6,2,2,4,1,20990
Sales,49,4,Life Sciences,Female,3,4,Married,10,2,3,2,3,58100
Research & Development,37,3,Life Sciences,Male,3,3,Single,0,2,4,3,3,56470
Research & Development,33,2,Medical,Male,3,3,Married,8,3,4,3,3,34200
Sales,27,4,Medical,Female,2,3,Married,2,3,1,2,3,44000
Research & Development,32,2,Medical,Female,2,3,Single,7,2,4,4,2,35000
Sales,59,2,Marketing,Female,3,3,Married,1,3,3,1,2,20660
Research & Development,30,4,Medical,Male,3,3,Divorced,1,2,4,3,3,171690
Sales,38,4,Life Sciences,Male,3,3,Single,9,1,4,3,3,41620
Research & Development,36,3,Life Sciences,Male,3,4,Married,7,2,3,3,2,92040
Human Resources,35,4,Human Resources,Male,3,3,Married,5,2,1,2,3,32940
Sales,29,4,Life Sciences,Male,2,3,Single,9,3,4,3,3,21270
Research & Development,31,2,Medical,Male,3,3,Divorced,5,3,4,3,2,39750
Research & Development,34,3,Technical Degree,Male,2,3,Divorced,2,1,2,4,3,107930
Research & Development,28,4,Life Sciences,Male,3,3,Single,4,2,3,3,3,100960
Research & Development,29,2,Life Sciences,Female,4,3,Divorced,10,3,2,1,3,36460
Human Resources,32,3,Human Resources,Female,3,3,Divorced,6,3,1,2,2,74460
Research & Development,22,3,Life Sciences,Female,4,3,Divorced,1,2,4,4,2,108510
Research & Development,53,3,Medical,Male,3,3,Married,25,3,1,4,3,21090
Research & Development,38,3,Life Sciences,Female,3,3,Single,3,0,4,4,3,37220
Research & Development,24,5,Life Sciences,Male,2,3,Divorced,4,2,1,3,2,93800
Research & Development,36,3,Life Sciences,Male,3,3,Single,5,2,3,1,3,54860
Sales,34,3,Marketing,Male,3,3,Single,12,2,1,2,3,27420
Sales,21,3,Life Sciences,Male,3,3,Single,0,3,3,4,3,137570
Sales,34,2,Marketing,Female,1,3,Single,4,2,2,1,3,84630
Sales,53,1,Life Sciences,Male,3,3,Divorced,14,4,3,3,2,31620
Research & Development,32,3,Medical,Female,3,3,Single,10,2,2,1,3,165980
Research & Development,42,3,Technical Degree,Male,2,4,Married,9,5,3,2,3,66510
Research & Development,44,1,Life Sciences,Female,3,3,Married,22,0,1,4,3,23450
Sales,46,3,Life Sciences,Female,1,3,Single,2,3,2,1,2,34200
Sales,33,3,Medical,Male,3,3,Single,1,3,3,4,3,43730
Human Resources,44,3,Life Sciences,Male,3,4,Married,4,2,4,4,4,47590
Research & Development,30,4,Technical Degree,Female,3,3,Single,10,3,4,3,3,53010
Human Resources,39,4,Medical,Male,3,3,Married,1,3,4,4,4,36730
Human Resources,24,5,Human Resources,Male,2,3,Married,2,2,2,4,2,47680
Sales,43,5,Technical Degree,Female,2,3,Divorced,5,3,4,3,2,12740
Research & Development,50,4,Medical,Male,2,3,Married,3,3,1,3,3,49000
Sales,35,4,Marketing,Male,3,3,Married,2,1,4,4,3,104660
Research & Development,36,1,Life Sciences,Female,2,3,Married,1,2,2,1,4,170070
Sales,33,2,Marketing,Male,2,3,Married,5,2,3,1,3,29090
Research & Development,35,1,Medical,Male,3,3,Divorced,1,2,3,4,3,57650
Sales,27,2,Marketing,Female,2,3,Divorced,1,3,4,1,3,45990
Sales,26,3,Marketing,Male,3,3,Single,1,6,1,3,2,24040
Sales,27,3,Life Sciences,Male,3,4,Single,9,1,4,3,3,31720
Research & Development,30,4,Medical,Male,1,3,Single,12,3,3,4,3,20330
Sales,41,4,Marketing,Male,3,3,Married,22,2,2,3,3,102090
Research & Development,34,2,Technical Degree,Female,2,3,Single,9,2,2,3,3,86200
Research & Development,37,3,Life Sciences,Female,2,3,Married,1,3,2,2,3,20640
Research & Development,46,3,Technical Degree,Male,3,3,Single,9,2,1,4,3,40350
Research & Development,35,4,Medical,Female,3,3,Married,1,2,4,4,3,38380
Research & Development,48,4,Technical Degree,Female,1,3,Single,1,6,1,3,3,45910
Research & Development,28,1,Medical,Male,3,4,Single,2,3,3,3,2,25610
Research & Development,44,1,Medical,Female,3,3,Divorced,4,3,2,1,2,15630
Research & Development,35,4,Technical Degree,Female,3,3,Married,4,2,3,1,3,48980
Research & Development,26,4,Life Sciences,Female,3,4,Married,2,2,3,4,2,47890
Sales,33,4,Life Sciences,Female,3,3,Single,15,2,1,4,3,31800
Research & Development,35,3,Medical,Male,3,4,Married,9,3,2,1,2,65490
Human Resources,35,2,Life Sciences,Female,2,3,Married,2,6,3,1,3,63880
Sales,31,2,Life Sciences,Female,3,3,Divorced,7,3,4,4,2,112440
Sales,37,3,Marketing,Male,3,3,Divorced,7,2,1,3,4,160320
Research & Development,32,3,Other,Male,3,3,Married,9,2,1,4,3,23620
Research & Development,38,3,Medical,Male,3,3,Single,10,2,4,4,3,163280
Sales,50,4,Marketing,Female,3,3,Divorced,27,2,2,3,2,83760
Research & Development,59,3,Technical Degree,Male,3,3,Single,21,6,1,1,2,166060
Sales,36,2,Marketing,Female,3,3,Divorced,17,3,3,3,3,86060
Research & Development,55,3,Medical,Male,3,3,Divorced,5,2,4,3,3,22720
Research & Development,36,3,Life Sciences,Female,3,3,Single,6,5,2,2,3,20180
Research & Development,45,2,Medical,Female,3,3,Divorced,1,5,2,1,3,70830
Human Resources,35,3,Other,Female,3,3,Married,3,3,2,1,2,40840
Sales,36,2,Life Sciences,Male,4,3,Married,1,2,4,3,2,144110
Research & Development,59,4,Life Sciences,Male,2,3,Single,4,4,1,3,2,23080
Research & Development,29,4,Life Sciences,Female,3,3,Married,5,3,3,2,3,48410
Research & Development,31,2,Medical,Female,1,4,Single,1,2,3,2,3,42850
